L[fm^-1]   alpha[fm^-2]    C0[MeV]        B_d[MeV]   a_ff[fm]   a_dd[fm]
{9.0500  ,   0.03449663  ,    -2367.607942 },     -1.00      6.59      11.96
{9.1000  ,   0.03450840  ,    -2393.344044 },     -1.00      6.59      11.96
{9.1500  ,   0.03450840  ,    -2419.219230 },     -1.00      6.59      11.96
{9.2000  ,   0.03452017  ,    -2445.226071 },     -1.00      6.59      11.96
{9.2500  ,   0.03453194  ,    -2471.379345 },     -1.00      6.59      11.96
{9.3000  ,   0.03454372  ,    -2497.679289 },     -1.00      6.59      11.96
{9.3500  ,   0.03455551  ,    -2524.110805 },     -1.00      6.59      11.95
{9.4000  ,   0.03455551  ,    -2550.665903 },     -1.00      6.59      11.95
{9.4500  ,   0.03456730  ,    -2577.383247 },     -1.00      6.59      11.95
{9.5000  ,   0.03453194  ,    -2604.176543 },     -1.00      6.59      11.96
{9.5500  ,   0.03457910  ,    -2631.219670 },     -1.00      6.59      11.95
{9.6000  ,   0.03461454  ,    -2658.370720 },     -1.00      6.58      11.94
{9.6500  ,   0.03460272  ,    -2685.612397 },     -1.00      6.58      11.95
{9.7000  ,   0.03459091  ,    -2712.992653 },     -1.00      6.59      11.95
{9.7500  ,   0.03462636  ,    -2740.578069 },     -1.00      6.58      11.94
{9.8000  ,   0.03465003  ,    -2768.269766 },     -1.00      6.58      11.94
{9.8500  ,   0.03463819  ,    -2796.075229 },     -1.00      6.58      11.94
{9.9000  ,   0.03465003  ,    -2824.036577 },     -1.00      6.58      11.94
{9.9500  ,   0.03466187  ,    -2852.145657 },     -1.00      6.58      11.94
